Food,Calories,Protein,Iron,Carbs,Fat
Rice,130,2.7,0.3,28,0.3
Dal,116,7.6,1.5,20,0.4
Milk,61,3.2,0.03,4.6,3.3
Egg,155,13,1.8,1.1,11
Roti,70,2.5,1.2,12,0.6
Paneer,264,18.3,0.1,3.6,20
Spinach,23,2.9,2.7,3.6,0.4
Chole,164,7.5,4.7,27,4.5
Banana,89,1.1,0.3,23,0.3
Dal Tadka,140,8,2.2,22,1.5
Paneer Curry,280,15,1.2,8,18
Egg Curry,180,14,2,5,10
Chicken Curry,250,22,1.8,6,12
Fish Fry,220,20,1.5,8,10
Vegetable Sabzi,110,4,1.5,15,3
Rajma,210,12,2.8,30,2
Idli,60,2,0.2,12,0.5
Dosa,140,4,0.8,25,3
Maggi,210,5,1.0,30,8
Burger,350,14,2.5,32,15
Pizza,300,12,2.2,35,12
French Fries,320,4,1.5
Biryani,250,9,1.8
Paratha,180,4,1.2
Milk,60,3.2,0.1
Curd,100,3.5,0.2
Fruit Salad,90,1,0.5
Apple,52,0.3,0.1
Banana,89,1.1,0.3
Orange,47,0.9,0.2
